,1-17 days,18-30 days,31-60 days,61-90 days,91-120 days,121-150 days,151-212 days,213-365 days
0-25,3.19,3.24,3.33,3.36,3.39,3.46,3.55,3.85
26-39,3.46,3.51,3.61,3.63,3.68,3.84,4.04,4.29
40-54,3.77,3.88,4.16,4.2,4.36,4.64,4.85,5.21
55-59,4.43,4.5,4.76,4.94,5.11,5.62,5.92,6.36
60-64,4.5,4.83,5.42,5.99,6.2,6.34,7.48,7.71
65-69,6.75,6.79,7.55,7.6,7.91,8.21,8.83,8.87
70-74,9.21,9.25,9.3,10.19,11.21,11.59,12.22,13.77
75-79,14.78,15.19,16.09,16.81,18.14,19.67,20.36,23.42
80-84,25.24,25.45,25.64,28.19,28.49,29.5,30.6,33.67
85+,34.46,34.87,34.92,38.36,38.58,39.8,42.04,44.64